10000002, C002, 5-8693-8084-5, 2022-01-02, 3, received
10000001, C001, 5-8693-8084-5, 2022-01-01, 1, shipped
10000001, C001, 7-7976-3004-6, 2022-01-01, 2, shipped
10000002, C002, 9-4551-0610-5, 2022-01-02, 1, received
10000003, C003, 4-7153-4198-4, 2022-01-03, 3, ordered
10000004, C004, 9-8076-3234-1, 2022-01-04, 1, shipped
10000005, C005, 5-0987-8697-8, 2022-01-05, 2, shipped
10000006, C002, 7-7976-3004-6, 2022-01-06, 1, shipped
10000007, C003, 4-7153-4198-4, 2022-01-07, 3, ordered
10000008, C001, 2-1504-2943-1, 2022-01-08, 1, received
10000009, C004, 9-6111-2637-6, 2022-01-09, 2, shipped
10000010, C005, 9-6111-2637-6, 2022-01-10, 1, shipped
10000011, C003, 7-7890-3871-3, 2022-01-11, 2, ordered
10000011, C003, 2-1504-2943-1, 2022-01-11, 3, ordered
10000011, C003, 9-2723-5173-8, 2022-01-11, 1, ordered
10000012, C002, 8-1163-6139-6, 2022-01-12, 2, shipped
10000013, C001, 7-4112-1471-7, 2022-01-13, 1, shipped
10000014, C005, 7-4112-1471-7, 2022-01-14, 4, shipped
10000014, C005, 9-2723-5173-8, 2022-01-14, 4, ordered
10000014, C005, 1-0952-4844-9, 2022-01-14, 4, ordered
10000015, C003, 1-0952-4844-9, 2022-01-15, 2, ordered
10000016, C001, 4-7153-4198-4, 2022-01-16, 1, shipped
10000017, C002, 5-8252-3893-4, 2022-01-17, 2, shipped
10000018, C001, 5-8252-3893-4, 2022-01-18, 1, received
10000019, C003, 7-7976-3004-6, 2022-01-19, 3, ordered
10000020, C004, 9-4551-0610-5, 2022-01-20, 2, shipped
